ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-12998235.000000,0.000000,ovf,-1037553.437500,ovf,-0.000001,ovf,0.000000,-0.000000,ovf,ovf,ovf
0.100000,-0.115800,0.000000,0.000000,0.001448,0.000000,0.000000,-0.001456,-0.116030,0.000000,0.001315,8.875424,-0.000006,0.000172,0.000000,0.000000,0.000000,0.000000
0.310000,0.303976,0.000000,0.000004,0.004487,0.000000,0.000006,-0.004510,0.304581,-0.000172,0.004073,-23.298159,-0.000006,-0.000430,0.000000,0.000000,0.000000,0.000000
0.010000,-0.434251,0.000000,0.000019,0.000145,0.000000,0.000013,-0.000128,-0.436936,0.000259,0.000202,19.126644,-0.000009,0.000364,0.000000,0.000000,0.000000,0.000000
0.170000,0.231600,0.000000,0.000018,0.002461,0.000000,0.000021,-0.002535,0.234539,-0.000105,0.005660,-7.258450,-0.000002,-0.000123,0.000000,0.000000,0.000000,0.000000
0.080000,-0.130275,0.000000,0.000026,0.001158,0.000000,0.000024,-0.001206,-0.133087,0.000018,0.003446,3.217122,-0.000006,0.000070,0.000000,0.000000,0.000000,0.000000
-0.030000,-0.159225,0.000000,0.000029,-0.000434,0.000000,0.000029,0.000510,-0.164453,-0.000052,-0.001757,3.294206,-0.000002,0.000057,0.000000,0.000000,0.000000,0.000000
-0.030000,0.000000,0.000000,0.000028,-0.000434,0.000000,0.000031,0.000528,-0.000001,-0.000110,-0.002110,0.000019,0.000001,-0.000006,0.000000,0.000000,0.000000,0.000000
-1.700000,-2.417329,0.000000,0.000027,-0.024608,0.000000,0.000030,0.029327,-2.568937,-0.000104,-0.132255,39.353771,0.000031,0.000387,0.000000,0.000000,0.000000,0.000000
-1.180000,0.752701,0.000000,-0.000045,-0.017081,0.000000,-0.000001,0.021265,0.814088,-0.000491,-0.105797,-11.304434,0.000073,-0.000501,0.000000,0.000000,0.000000,0.000000
3.250000,6.412436,0.000000,-0.000096,0.047044,0.000000,-0.000074,-0.061981,7.072248,0.000010,0.334478,-90.536873,-0.000034,-0.000809,0.000000,0.000000,0.000000,0.000000
2.520000,-1.056677,0.000000,0.000039,0.036477,0.000000,-0.000040,-0.050663,-1.190999,0.000818,0.292570,14.247935,-0.000160,0.001063,0.000000,0.000000,0.000000,0.000000
0.870000,-2.388379,0.000000,0.000144,0.012593,0.000000,0.000119,-0.018369,-2.756285,-0.000245,0.112273,31.154785,-0.000102,0.000892,0.000000,0.000000,0.000000,0.000000
0.900000,0.043425,0.000000,0.000182,0.013028,0.000000,0.000221,-0.020181,0.051348,-0.001136,0.129364,-0.553377,-0.000053,0.000338,0.000000,0.000000,0.000000,0.000000
1.450000,0.796126,0.000000,0.000222,0.020989,0.000000,0.000274,-0.034831,0.968723,-0.001474,0.232423,-10.029325,-0.000076,0.000438,0.000000,0.000000,0.000000,0.000000
0.460000,-1.433028,0.000000,0.000286,0.006659,0.000000,0.000350,-0.011439,-1.795927,-0.001912,0.078961,17.974672,-0.000065,0.000553,0.000000,0.000000,0.000000,0.000000
4.300000,4.834659,0.000000,0.001589,0.062243,0.000000,0.001596,-0.062034,4.873008,0.000863,0.110744,-188.574738,-0.000075,-0.003272,0.000000,0.000000,0.000000,0.000000
-5.620000,-14.359225,0.000000,0.001821,-0.081350,0.000000,0.001671,0.085158,-14.473617,0.004135,-0.152026,560.097351,-0.000044,0.010200,0.000000,0.000000,0.000000,0.000000
-1.640000,5.761060,0.000000,0.001570,-0.023739,0.000000,0.001715,0.026467,5.848696,-0.006065,-0.064345,-166.196350,0.000182,-0.003340,0.000000,0.000000,0.000000,0.000000
0.190000,2.648930,0.000000,0.001518,0.002750,0.000000,0.001532,-0.001325,2.714556,-0.002725,0.004035,-61.556156,0.000047,-0.001149,0.000000,0.000000,0.000000,0.000000
-4.980000,-7.483588,0.000000,0.001558,-0.072086,0.000000,0.001485,0.081840,-7.759467,-0.001577,-0.296721,147.853714,0.000074,0.001999,0.000000,0.000000,0.000000,0.000000
5.000000,14.446075,0.000000,0.001381,0.072375,0.000000,0.001411,-0.082032,15.187082,-0.003576,0.341601,-251.953461,0.000066,-0.003850,0.000000,0.000000,0.000000,0.000000
5.660000,0.955351,0.000000,0.001647,0.081929,0.000000,0.001345,-0.096952,1.019959,0.000274,0.451785,-15.121262,-0.000243,0.000943,0.000000,0.000000,0.000000,0.000000
-8.310000,-20.221611,0.000000,0.001951,-0.120287,0.000000,0.001588,0.155018,-21.999607,-0.000669,-0.792374,297.335754,0.000003,0.003485,0.000000,0.000000,0.000000,0.000000
1.830000,14.677677,0.000000,0.001676,0.026489,0.000000,0.001585,-0.033186,16.293518,-0.004153,0.183165,-203.944687,0.000219,-0.003373,0.000000,0.000000,0.000000,0.000000
3.690000,2.692355,0.000000,0.001840,0.053413,0.000000,0.001366,-0.073025,3.054978,-0.000781,0.429715,-35.865631,-0.000140,0.000489,0.000000,0.000000,0.000000,0.000000
2.280000,3.806931,0.000000,0.000723,0.033003,0.000000,0.000297,-0.033004,3.836717,0.017587,0.058920,-148.472549,-0.000016,-0.002653,0.000000,0.000000,0.000000,0.000000
-3.260000,-8.019164,0.000000,0.000856,-0.047189,0.000000,0.000313,0.049193,-8.083504,0.020240,-0.087820,312.813904,-0.000020,0.005690,0.000000,0.000000,0.000000,0.000000
-1.300000,2.837105,0.000000,0.000884,-0.018818,0.000000,0.000333,0.020602,2.879636,0.014549,-0.050088,-81.827629,0.000110,-0.001695,0.000000,0.000000,0.000000,0.000000
4.590000,8.525789,0.000000,0.001009,0.066440,0.000000,0.000223,-0.070325,8.736469,0.016245,0.214250,-198.111038,-0.000025,-0.003169,0.000000,0.000000,0.000000,0.000000
-5.950000,-15.256677,0.000000,0.001407,-0.086126,0.000000,0.000248,0.097276,-15.819920,0.019413,-0.352685,301.442566,-0.000036,0.004760,0.000000,0.000000,0.000000,0.000000
8.340000,20.684813,0.000000,0.001349,0.120722,0.000000,0.000284,-0.137933,21.744825,0.014653,0.574384,-360.746277,0.000039,-0.005286,0.000000,0.000000,0.000000,0.000000
-0.870000,-13.331498,0.000000,0.001921,-0.012593,0.000000,0.000245,0.017527,-14.244121,0.019939,-0.081676,211.174286,-0.000222,0.003787,0.000000,0.000000,0.000000,0.000000
-2.770000,-2.750255,0.000000,0.002109,-0.040096,0.000000,0.000468,0.053522,-2.994159,0.016152,-0.273577,40.467560,0.000088,0.000019,0.000000,0.000000,0.000000,0.000000
0.720000,5.051784,0.000000,0.002231,0.010422,0.000000,0.000379,-0.010955,5.605548,0.016133,0.060464,-70.164192,0.000076,-0.001165,0.000000,0.000000,0.000000,0.000000
-1.550000,0.521101,0.000000,-0.000736,-0.022436,0.000000,-0.001580,0.022308,0.524330,0.036593,-0.039825,-20.290436,0.000070,-0.000490,0.000000,0.000000,0.000000,0.000000
-3.140000,-2.301529,0.000000,-0.000708,-0.045452,0.000000,-0.001650,0.045813,-2.320758,0.037083,-0.081787,89.808266,0.000080,0.001480,0.000000,0.000000,0.000000,0.000000
-2.440000,1.013252,0.000000,-0.000498,-0.035319,0.000000,-0.001730,0.036413,1.027444,0.035603,-0.088527,-29.195812,0.000118,-0.000795,0.000000,0.000000,0.000000,0.000000
3.540000,8.656065,0.000000,-0.000260,0.051242,0.000000,-0.001847,-0.055354,8.869272,0.036398,0.168640,-201.122513,0.000018,-0.003351,0.000000,0.000000,0.000000,0.000000
2.600000,-1.360652,0.000000,0.000245,0.037635,0.000000,-0.001865,-0.041551,-1.412905,0.039748,0.150648,26.922373,-0.000139,0.000923,0.000000,0.000000,0.000000,0.000000
10.590000,11.565546,0.000000,0.000710,0.153291,0.000000,-0.001726,-0.176304,12.156400,0.038825,0.734170,-201.674469,-0.000246,-0.001834,0.000000,0.000000,0.000000,0.000000
-4.300000,-21.553314,0.000000,0.001525,-0.062243,0.000000,-0.001480,0.077009,-23.028738,0.040659,-0.358852,341.409424,-0.000227,0.005497,0.000000,0.000000,0.000000,0.000000
0.730000,7.280938,0.000000,0.001711,0.010567,0.000000,-0.001252,-0.011230,7.917377,0.035162,0.057404,-107.007324,0.000120,-0.001881,0.000000,0.000000,0.000000,0.000000
4.180000,4.993884,0.000000,0.002123,0.060506,0.000000,-0.001372,-0.078084,5.539664,0.037043,0.430965,-69.339539,-0.000107,-0.000144,0.000000,0.000000,0.000000,0.000000
8.850000,-8.294189,0.000000,-0.002165,0.128104,0.000000,-0.003372,-0.133258,-8.361431,0.053242,0.237895,323.569153,-0.000519,0.006771,0.000000,0.000000,0.000000,0.000000
-0.430000,-13.432825,0.000000,-0.001692,-0.006224,0.000000,-0.002853,0.004641,-13.540776,0.046472,-0.008285,523.998413,-0.000243,0.009887,0.000000,0.000000,0.000000,0.000000
4.730000,7.469113,0.000000,-0.001383,0.068467,0.000000,-0.002610,-0.073045,7.581474,0.036585,0.177585,-215.434906,-0.000054,-0.003617,0.000000,0.000000,0.000000,0.000000
-1.500000,-9.017941,0.000000,-0.000842,-0.021713,0.000000,-0.002557,0.022431,-9.243346,0.040202,-0.068338,209.605118,-0.000114,0.003791,0.000000,0.000000,0.000000,0.000000
-0.930000,0.825076,0.000000,-0.000591,-0.013462,0.000000,-0.002442,0.014304,0.853679,0.036411,-0.051860,-16.266537,0.000055,-0.000455,0.000000,0.000000,0.000000,0.000000
0.610000,2.229154,0.000000,-0.000318,0.008830,0.000000,-0.002497,-0.010570,2.341396,0.036867,0.044016,-38.843727,0.000016,-0.000616,0.000000,0.000000,0.000000,0.000000
-0.330000,-1.360652,0.000000,0.000018,-0.004777,0.000000,-0.002513,0.005791,-1.456121,0.037482,-0.026984,21.587523,-0.000012,0.000337,0.000000,0.000000,0.000000,0.000000
0.420000,1.085627,0.000000,0.000314,0.006080,0.000000,-0.002501,-0.007312,1.178135,0.037145,0.037376,-15.923087,0.000003,-0.000201,0.000000,0.000000,0.000000,0.000000
-0.650000,-1.548828,0.000000,0.000642,-0.009409,0.000000,-0.002504,0.013442,-1.722767,0.037346,-0.074192,21.563740,0.000004,0.000208,0.000000,0.000000,0.000000,0.000000
1.670000,3.358206,0.000000,0.000929,0.024173,0.000000,-0.002507,-0.032913,3.808234,0.037138,0.193678,-44.708893,-0.000017,-0.000323,0.000000,0.000000,0.000000,0.000000
2.950000,1.852804,0.000000,0.001319,0.042701,0.000000,-0.002490,-0.062251,2.150391,0.037461,0.386531,-23.925478,-0.000128,0.000593,0.000000,0.000000,0.000000,0.000000
-1.940000,-1.172477,0.000000,-0.001228,-0.028082,0.000000,-0.002098,0.027585,-1.182732,0.038091,-0.049246,45.769150,0.000052,0.000732,0.000000,0.000000,0.000000,0.000000
-3.510000,-2.272579,0.000000,-0.001213,-0.050807,0.000000,-0.002150,0.050779,-2.291561,0.037359,-0.090653,88.678398,0.000094,0.001433,0.000000,0.000000,0.000000,0.000000
1.960000,7.917839,0.000000,-0.001025,0.028371,0.000000,-0.002244,-0.030740,8.037010,0.035927,0.074735,-228.379425,0.000069,-0.004125,0.000000,0.000000,0.000000,0.000000
4.410000,3.546381,0.000000,-0.000588,0.063835,0.000000,-0.002313,-0.069241,3.632693,0.040051,0.210947,-82.376122,-0.000119,-0.000982,0.000000,0.000000,0.000000,0.000000
0.950000,-5.008358,0.000000,-0.000045,0.013751,0.000000,-0.002194,-0.015332,-5.194968,0.041033,0.055589,98.988136,-0.000140,0.002027,0.000000,0.000000,0.000000,0.000000
-1.600000,-3.691131,0.000000,0.000343,-0.023160,0.000000,-0.002055,0.027157,-3.882965,0.039006,-0.113087,64.418327,0.000000,0.000910,0.000000,0.000000,0.000000,0.000000
2.610000,6.093986,0.000000,0.000622,0.037780,0.000000,-0.002055,-0.044874,6.507402,0.038096,0.209107,-96.474617,0.000002,-0.001263,0.000000,0.000000,0.000000,0.000000
-0.470000,-4.458308,0.000000,0.001085,-0.006803,0.000000,-0.002057,0.010003,-4.853544,0.039359,-0.051132,65.598091,-0.000065,0.001106,0.000000,0.000000,0.000000,0.000000
