-0.000000,0.000000,0.000000,0.000508,0.000000,ovf,-0.000000,ovf,0.000003,-0.061419,-0.000000,-0.000000,0.000000,ovf,-16600855.000000,ovf,-0.000001,ovf
-0.090000,-0.188175,0.000000,0.000000,-0.001303,0.000000,0.000000,0.001311,-0.188549,0.000000,-0.001184,14.422565,-0.000000,0.000270,0.000000,0.000000,0.000000,0.000000
3.140000,4.675434,0.000000,-0.000004,0.045452,0.000000,0.000000,-0.045726,4.684717,-0.000270,0.041297,-358.345581,-0.000035,-0.006674,0.000000,0.000000,0.000000,0.000000
-0.250000,-4.907034,0.000000,0.000185,-0.003619,0.000000,0.000035,0.003874,-4.937457,0.006404,-0.006114,216.134537,-0.000083,0.004088,0.000000,0.000000,0.000000,0.000000
-0.980000,-1.056677,0.000000,0.000200,-0.014186,0.000000,0.000118,0.014934,-1.070167,0.002316,-0.033338,33.119175,0.000020,0.000529,0.000000,0.000000,0.000000,0.000000
-1.900000,-1.331702,0.000000,0.000183,-0.027503,0.000000,0.000098,0.029483,-1.360500,0.001786,-0.084259,32.887478,0.000054,0.000394,0.000000,0.000000,0.000000,0.000000
-1.640000,0.376351,0.000000,0.000124,-0.023739,0.000000,0.000044,0.026228,0.388607,0.001393,-0.090456,-7.784300,0.000078,-0.000393,0.000000,0.000000,0.000000,0.000000
-1.550000,0.130275,0.000000,0.000079,-0.022436,0.000000,-0.000034,0.025686,0.136211,0.001785,-0.102754,-2.352260,0.000072,-0.000322,0.000000,0.000000,0.000000,0.000000
-1.600000,-0.072375,0.000000,0.000037,-0.023160,0.000000,-0.000106,0.027615,-0.077065,0.002107,-0.124537,1.180563,0.000073,-0.000314,0.000000,0.000000,0.000000,0.000000
0.000000,2.316004,0.000000,-0.000006,0.000000,0.000000,-0.000180,-0.000008,2.504541,0.002421,0.000040,-34.778103,0.000047,-0.000658,0.000000,0.000000,0.000000,0.000000
4.470000,6.470336,0.000000,0.000018,0.064703,0.000000,-0.000227,-0.085049,7.135801,0.003079,0.458969,-91.350449,-0.000095,-0.000487,0.000000,0.000000,0.000000,0.000000
-1.770000,-9.032415,0.000000,0.000231,-0.025621,0.000000,-0.000132,0.035945,-10.180231,0.003566,-0.207575,121.786263,-0.000095,0.001745,0.000000,0.000000,0.000000,0.000000
0.130000,2.750255,0.000000,0.000184,0.001882,0.000000,-0.000036,-0.002505,3.173488,0.001821,0.015312,-35.870506,0.000053,-0.000641,0.000000,0.000000,0.000000,0.000000
1.190000,1.534353,0.000000,0.000218,0.017225,0.000000,-0.000090,-0.026719,1.816123,0.002462,0.171275,-19.572506,-0.000038,0.000094,0.000000,0.000000,0.000000,0.000000
-0.530000,-2.489705,0.000000,0.000297,-0.007672,0.000000,-0.000052,0.013365,-3.030316,0.002368,-0.089180,31.373272,-0.000021,0.000353,0.000000,0.000000,0.000000,0.000000
-0.460000,0.101325,0.000000,0.000306,-0.006659,0.000000,-0.000031,0.012502,0.126393,0.002015,-0.086297,-1.265011,0.000036,-0.000258,0.000000,0.000000,0.000000,0.000000
3.490000,5.659735,0.000000,0.001209,0.050518,0.000000,0.001231,-0.050342,5.704594,0.003392,0.089873,-220.755341,-0.000028,-0.003936,0.000000,0.000000,0.000000,0.000000
-7.510000,-15.922529,0.000000,0.001484,-0.108707,0.000000,0.001260,0.112824,-16.049419,0.007329,-0.201417,621.077393,0.000001,0.011223,0.000000,0.000000,0.000000,0.000000
2.840000,14.981651,0.000000,0.001172,0.041109,0.000000,0.001258,-0.041763,15.209393,-0.003894,0.101534,-432.189606,0.000175,-0.007930,0.000000,0.000000,0.000000,0.000000
1.520000,-1.910703,0.000000,0.001355,0.022002,0.000000,0.001083,-0.022191,-1.958486,0.004036,0.067606,44.411255,-0.000097,0.001038,0.000000,0.000000,0.000000,0.000000
-4.910000,-9.307442,0.000000,0.001487,-0.071072,0.000000,0.001181,0.080635,-9.650721,0.002997,-0.292351,183.890823,0.000036,0.002689,0.000000,0.000000,0.000000,0.000000
1.450000,9.206117,0.000000,0.001345,0.020989,0.000000,0.001145,-0.022698,9.678052,0.000308,0.094522,-160.558731,0.000122,-0.002789,0.000000,0.000000,0.000000,0.000000
4.310000,4.139857,0.000000,0.001488,0.062387,0.000000,0.001023,-0.073545,4.421838,0.003097,0.342710,-65.555359,-0.000115,-0.000309,0.000000,0.000000,0.000000,0.000000
-4.930000,-13.374924,0.000000,0.001764,-0.071362,0.000000,0.001139,0.092735,-14.551433,0.003407,-0.474014,196.669922,-0.000024,0.002442,0.000000,0.000000,0.000000,0.000000
-1.270000,5.297859,0.000000,0.001659,-0.018383,0.000000,0.001163,0.026805,5.880273,0.000964,-0.147944,-73.602921,0.000184,-0.001798,0.000000,0.000000,0.000000,0.000000
2.630000,5.645260,0.000000,0.001720,0.038069,0.000000,0.000979,-0.051469,6.406744,0.002763,0.302873,-75.215553,-0.000018,-0.000602,0.000000,0.000000,0.000000,0.000000
