0.475724,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,ovf,0.000000,ovf,-259390.359375,ovf,-0.000001,ovf,0.000000,-0.000000
-0.040000,0.086850,0.000000,0.000000,-0.000579,0.000000,0.000000,0.000582,0.087023,0.000000,-0.000526,-6.656569,0.000003,-0.000127,0.000000,0.000000,0.000000,0.000000
1.360000,2.026504,0.000000,-0.000002,0.019686,0.000000,-0.000003,-0.019805,2.030524,0.000127,0.017887,-155.319809,-0.000015,-0.002892,0.000000,0.000000,0.000000,0.000000
0.250000,-1.606728,0.000000,0.000082,0.003619,0.000000,0.000012,-0.003602,-1.616711,0.003020,0.005684,70.770668,-0.000040,0.001361,0.000000,0.000000,0.000000,0.000000
-0.520000,-1.114577,0.000000,0.000110,-0.007527,0.000000,0.000052,0.007928,-1.128774,0.001659,-0.017698,34.932907,0.000000,0.000611,0.000000,0.000000,0.000000,0.000000
0.070000,0.854026,0.000000,0.000102,0.001013,0.000000,0.000052,-0.000971,0.872376,0.001048,0.002774,-21.088022,0.000014,-0.000393,0.000000,0.000000,0.000000,0.000000
-0.840000,-1.317227,0.000000,0.000121,-0.012159,0.000000,0.000038,0.013497,-1.360546,0.001441,-0.046548,27.253477,0.000011,0.000391,0.000000,0.000000,0.000000,0.000000
-0.970000,-0.188175,0.000000,0.000101,-0.014041,0.000000,0.000027,0.016133,-0.197016,0.001050,-0.064539,3.402318,0.000040,-0.000111,0.000000,0.000000,0.000000,0.000000
-1.330000,-0.521101,0.000000,0.000075,-0.019252,0.000000,-0.000012,0.023008,-0.553885,0.001161,-0.103761,8.485005,0.000052,-0.000120,0.000000,0.000000,0.000000,0.000000
-1.280000,0.072375,0.000000,0.000035,-0.018528,0.000000,-0.000064,0.023173,0.078165,0.001281,-0.115288,-1.085394,0.000064,-0.000332,0.000000,0.000000,0.000000,0.000000
-0.230000,1.519878,0.000000,-0.000003,-0.003329,0.000000,-0.000128,0.004374,1.676130,0.001613,-0.023602,-21.457323,0.000043,-0.000470,0.000000,0.000000,0.000000,0.000000
0.700000,1.346177,0.000000,0.000003,0.010133,0.000000,-0.000172,-0.014083,1.517002,0.002082,0.081330,-18.147921,-0.000009,-0.000123,0.000000,0.000000,0.000000,0.000000
-0.640000,-1.939653,0.000000,0.000049,-0.009264,0.000000,-0.000162,0.013742,-2.238595,0.002205,-0.083988,25.303242,-0.000005,0.000252,0.000000,0.000000,0.000000,0.000000
0.030000,0.969827,0.000000,0.000038,0.000434,0.000000,-0.000157,-0.000622,1.147983,0.001953,0.003989,-12.371906,0.000020,-0.000224,0.000000,0.000000,0.000000,0.000000
-0.150000,-0.260550,0.000000,0.000056,-0.002171,0.000000,-0.000177,0.003735,-0.317339,0.002177,-0.024925,3.285455,0.000004,-0.000005,0.000000,0.000000,0.000000,0.000000
1.300000,2.098879,0.000000,0.000066,0.018818,0.000000,-0.000181,-0.033660,2.629860,0.002182,0.232339,-26.321146,-0.000041,0.000130,0.000000,0.000000,0.000000,0.000000
-0.770000,-0.318451,0.000000,0.001358,-0.011146,0.000000,0.001372,0.012905,-0.321104,0.002009,-0.023038,12.426023,0.000029,0.000173,0.000000,0.000000,0.000000,0.000000
