0.236882,0.129960,0.000000,nan,-0.000000,ovf,0.000003,-0.000000,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
1.580000,2.504179,0.000000,0.000000,0.022871,0.000000,0.000000,-0.023007,2.509150,0.000000,0.020779,-191.931061,-0.000015,-0.003578,0.000000,0.000000,0.000000,0.000000
4.260000,3.879307,0.000000,0.000062,0.061664,0.000000,0.000015,-0.061969,3.886959,0.003578,0.055967,-297.323120,-0.000094,-0.005472,0.000000,0.000000,0.000000,0.000000
-2.690000,-10.060143,0.000000,0.000321,-0.038938,0.000000,0.000109,0.039987,-10.122419,0.009050,-0.063106,443.103516,-0.000083,0.008230,0.000000,0.000000,0.000000,0.000000
0.220000,4.212233,0.000000,0.000227,0.003185,0.000000,0.000192,-0.003070,4.265608,0.000820,0.006854,-132.010574,0.000073,-0.002496,0.000000,0.000000,0.000000,0.000000
-0.340000,-0.810601,0.000000,0.000273,-0.004922,0.000000,0.000119,0.005532,-0.828243,0.003317,-0.015810,20.021189,-0.000001,0.000341,0.000000,0.000000,0.000000,0.000000
-0.970000,-0.911927,0.000000,0.000295,-0.014041,0.000000,0.000120,0.015757,-0.942055,0.002976,-0.054342,18.870575,0.000025,0.000210,0.000000,0.000000,0.000000,0.000000
-1.420000,-0.651376,0.000000,0.000292,-0.020555,0.000000,0.000096,0.023782,-0.681913,0.002766,-0.095138,11.776120,0.000051,-0.000035,0.000000,0.000000,0.000000,0.000000
-1.170000,0.361876,0.000000,0.000270,-0.016936,0.000000,0.000044,0.020483,0.384294,0.002801,-0.092372,-5.887026,0.000063,-0.000361,0.000000,0.000000,0.000000,0.000000
-0.920000,0.361876,0.000000,0.000261,-0.013317,0.000000,-0.000018,0.016950,0.391017,0.003162,-0.084328,-5.429666,0.000053,-0.000330,0.000000,0.000000,0.000000,0.000000
0.350000,1.838328,0.000000,0.000265,0.005066,0.000000,-0.000072,-0.006313,2.027050,0.003492,0.034070,-25.949703,0.000021,-0.000399,0.000000,0.000000,0.000000,0.000000
1.550000,1.737003,0.000000,0.000323,0.022436,0.000000,-0.000093,-0.030746,1.957108,0.003891,0.177553,-23.412909,-0.000046,0.000038,0.000000,0.000000,0.000000,0.000000
-0.450000,-2.895005,0.000000,0.000434,-0.006514,0.000000,-0.000047,0.010252,-3.341526,0.003853,-0.062661,37.769863,-0.000035,0.000546,0.000000,0.000000,0.000000,0.000000
-0.070000,0.550051,0.000000,0.000465,-0.001013,0.000000,-0.000011,0.002322,0.650477,0.003307,-0.014882,-7.010242,0.000019,-0.000174,0.000000,0.000000,0.000000,0.000000
1.450000,2.200204,0.000000,0.000514,0.020989,0.000000,-0.000030,-0.034341,2.676576,0.003481,0.229152,-27.710955,-0.000042,0.000095,0.000000,0.000000,0.000000,0.000000
-0.190000,-2.373904,0.000000,0.000630,-0.002750,0.000000,0.000012,0.006067,-2.975919,0.003386,-0.041877,29.784708,-0.000040,0.000451,0.000000,0.000000,0.000000,0.000000
