0.473771,0.000569,0.000000,-0.064653,-0.000000,ovf,0.000003,-0.000000,-0.000000,-198.274826,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
1.050000,1.447502,0.000000,0.000000,0.015199,0.000000,0.000000,-0.015289,1.450375,0.000000,0.013809,-110.942802,-0.000014,-0.002063,0.000000,0.000000,0.000000,0.000000
2.920000,2.706830,0.000000,0.000041,0.042267,0.000000,0.000014,-0.042477,2.712175,0.002063,0.038364,-207.460953,-0.000064,-0.003821,0.000000,0.000000,0.000000,0.000000
1.070000,-2.677880,0.000000,0.000216,0.015488,0.000000,0.000077,-0.015556,-2.694541,0.005884,0.024550,117.952095,-0.000093,0.002307,0.000000,0.000000,0.000000,0.000000
-0.130000,-1.737003,0.000000,0.000297,-0.001882,0.000000,0.000170,0.002262,-1.759169,0.003577,-0.005049,54.442181,-0.000027,0.001013,0.000000,0.000000,0.000000,0.000000
-0.710000,-0.839551,0.000000,0.000323,-0.010277,0.000000,0.000197,0.011289,-0.857792,0.002564,-0.032262,20.735481,0.000014,0.000303,0.000000,0.000000,0.000000,0.000000
-1.990000,-1.852803,0.000000,0.000325,-0.028805,0.000000,0.000183,0.032017,-1.913776,0.002261,-0.110421,38.335396,0.000050,0.000427,0.000000,0.000000,0.000000,0.000000
-1.910000,0.115800,0.000000,0.000273,-0.027647,0.000000,0.000133,0.031852,0.121009,0.001834,-0.127421,-2.089727,0.000088,-0.000385,0.000000,0.000000,0.000000,0.000000
-1.330000,0.839551,0.000000,0.000225,-0.019252,0.000000,0.000044,0.023187,0.891981,0.002219,-0.104565,-13.664331,0.000079,-0.000541,0.000000,0.000000,0.000000,0.000000
-0.270000,1.534353,0.000000,0.000204,-0.003908,0.000000,-0.000035,0.005134,1.659082,0.002760,-0.025542,-23.038044,0.000045,-0.000504,0.000000,0.000000,0.000000,0.000000
1.940000,3.198981,0.000000,0.000230,0.028082,0.000000,-0.000080,-0.036620,3.527733,0.003264,0.197620,-45.161015,-0.000032,-0.000320,0.000000,0.000000,0.000000,0.000000
2.310000,0.535576,0.000000,0.000350,0.033437,0.000000,-0.000048,-0.046005,0.603074,0.003584,0.265669,-7.214584,-0.000113,0.000583,0.000000,0.000000,0.000000,0.000000
-1.030000,-4.834659,0.000000,0.000488,-0.014909,0.000000,0.000065,0.022720,-5.579855,0.003001,-0.138862,63.070095,-0.000044,0.000818,0.000000,0.000000,0.000000,0.000000
0.350000,1.997553,0.000000,0.000490,0.005066,0.000000,0.000109,-0.007190,2.364289,0.002184,0.046088,-25.480129,0.000025,-0.000359,0.000000,0.000000,0.000000,0.000000
-0.600000,-1.375127,0.000000,0.000552,-0.008685,0.000000,0.000084,0.015493,-1.674260,0.002543,-0.103383,17.333839,0.000010,0.000049,0.000000,0.000000,0.000000,0.000000
-1.140000,-0.781651,0.000000,0.000579,-0.016502,0.000000,0.000074,0.030661,-0.980474,0.002494,-0.211640,9.813148,0.000064,-0.000387,0.000000,0.000000,0.000000,0.000000
1.320000,4.443833,0.000000,0.000968,0.019107,0.000000,0.001004,-0.018361,4.478976,0.005546,0.032779,-173.326569,0.000035,-0.003193,0.000000,0.000000,0.000000,0.000000
-3.920000,-7.584913,0.000000,0.001223,-0.056742,0.000000,0.000969,0.059350,-7.645519,0.008739,-0.105954,295.864868,0.000016,0.005321,0.000000,0.000000,0.000000,0.000000
-4.310000,-0.564526,0.000000,0.001122,-0.062387,0.000000,0.000953,0.066414,-0.573327,0.003417,-0.161465,16.291636,0.000169,-0.000138,0.000000,0.000000,0.000000,0.000000
-1.110000,4.632008,0.000000,0.001011,-0.016067,0.000000,0.000784,0.018356,4.746634,0.003555,-0.055922,-107.636238,0.000139,-0.002189,0.000000,0.000000,0.000000,0.000000
0.630000,2.518655,0.000000,0.001052,0.009119,0.000000,0.000645,-0.008966,2.610897,0.005745,0.032506,-49.749645,0.000025,-0.000850,0.000000,0.000000,0.000000,0.000000
3.140000,3.633232,0.000000,0.001176,0.045452,0.000000,0.000620,-0.051160,3.818905,0.006595,0.213042,-63.355572,-0.000066,-0.000622,0.000000,0.000000,0.000000,0.000000
2.110000,-1.490928,0.000000,0.001416,0.030542,0.000000,0.000686,-0.035174,-1.593783,0.007216,0.163906,23.628420,-0.000125,0.000892,0.000000,0.000000,0.000000,0.000000
-3.360000,-7.917839,0.000000,0.001622,-0.048636,0.000000,0.000811,0.063735,-8.614918,0.006324,-0.325783,116.434944,0.000010,0.001322,0.000000,0.000000,0.000000,0.000000
-7.340000,-5.761061,0.000000,0.001607,-0.106247,0.000000,0.000802,0.144247,-6.396892,0.005003,-0.796142,80.069382,0.000269,-0.000640,0.000000,0.000000,0.000000,0.000000
-1.330000,0.593476,0.000000,-0.000123,-0.019252,0.000000,-0.000536,0.019629,0.597742,0.017691,-0.035043,-23.131329,0.000064,-0.000532,0.000000,0.000000,0.000000,0.000000
-5.010000,-5.326809,0.000000,-0.000132,-0.072520,0.000000,-0.000600,0.074118,-5.369637,0.018223,-0.132317,207.793243,0.000099,0.003578,0.000000,0.000000,0.000000,0.000000
-5.480000,-0.680326,0.000000,-0.000191,-0.079323,0.000000,-0.000699,0.082751,-0.691164,0.014645,-0.201182,19.640099,0.000211,-0.000179,0.000000,0.000000,0.000000,0.000000
-1.890000,5.196534,0.000000,-0.000274,-0.027358,0.000000,-0.000909,0.029109,5.324857,0.014824,-0.088683,-120.748192,0.000179,-0.002526,0.000000,0.000000,0.000000,0.000000
-3.990000,-3.039755,0.000000,-0.000197,-0.057755,0.000000,-0.001088,0.063964,-3.152583,0.017350,-0.231908,60.071274,0.000113,0.000515,0.000000,0.000000,0.000000,0.000000
6.990000,15.893578,0.000000,-0.000215,0.101180,0.000000,-0.001201,-0.117161,16.708086,0.016836,0.487884,-277.186859,-0.000001,-0.003930,0.000000,0.000000,0.000000,0.000000
-0.750000,-11.203670,0.000000,0.000242,-0.010856,0.000000,-0.001200,0.013402,-11.970379,0.020765,-0.062454,177.465225,-0.000190,0.003199,0.000000,0.000000,0.000000,0.000000
-6.800000,-8.757390,0.000000,0.000367,-0.098430,0.000000,-0.001010,0.125291,-9.528481,0.017567,-0.640424,128.782196,0.000159,0.000700,0.000000,0.000000,0.000000,0.000000
2.570000,13.563098,0.000000,0.000239,0.037201,0.000000,-0.001169,-0.049434,15.055354,0.016866,0.272842,-188.446686,0.000151,-0.002832,0.000000,0.000000,0.000000,0.000000
-5.150000,-24.477270,0.000000,0.000199,-0.074546,0.000000,-0.000264,0.076581,-24.672455,0.019588,-0.136715,954.770020,-0.000260,0.017714,0.000000,0.000000,0.000000,0.000000
-5.870000,-1.042202,0.000000,0.000045,-0.084968,0.000000,-0.000004,0.087045,-1.050541,0.001874,-0.155396,40.653625,0.000216,0.000317,0.000000,0.000000,0.000000,0.000000
-1.140000,6.846687,0.000000,-0.000173,-0.016502,0.000000,-0.000220,0.017075,6.950712,0.001557,-0.041513,-197.511185,0.000177,-0.003853,0.000000,0.000000,0.000000,0.000000
-2.440000,-1.881754,0.000000,-0.000171,-0.035319,0.000000,-0.000398,0.037777,-1.928658,0.005410,-0.115090,43.734863,0.000065,0.000524,0.000000,0.000000,0.000000,0.000000
-1.680000,1.100102,0.000000,-0.000230,-0.024318,0.000000,-0.000463,0.026770,1.140413,0.004886,-0.097056,-21.730129,0.000094,-0.000675,0.000000,0.000000,0.000000,0.000000
0.990000,3.864832,0.000000,-0.000256,0.014330,0.000000,-0.000557,-0.016854,4.062866,0.005561,0.070185,-67.402878,0.000031,-0.001085,0.000000,0.000000,0.000000,0.000000
-0.070000,-1.534353,0.000000,-0.000169,-0.001013,0.000000,-0.000588,0.001020,-1.639534,0.006646,-0.004752,24.306688,-0.000028,0.000449,0.000000,0.000000,0.000000,0.000000
0.230000,0.434251,0.000000,-0.000128,0.003329,0.000000,-0.000560,-0.004385,0.472017,0.006197,0.022413,-6.379541,-0.000003,-0.000061,0.000000,0.000000,0.000000,0.000000
0.170000,-0.086850,0.000000,-0.000076,0.002461,0.000000,-0.000557,-0.003393,-0.096870,0.006258,0.018726,1.212518,-0.000011,0.000074,0.000000,0.000000,0.000000,0.000000
-5.260000,-13.765750,0.000000,0.001176,-0.076139,0.000000,0.001050,0.079178,-13.875398,0.004406,-0.141352,536.947571,-0.000049,0.009785,0.000000,0.000000,0.000000,0.000000
-2.170000,4.472783,0.000000,0.000983,-0.031411,0.000000,0.001099,0.033168,4.508447,-0.005378,-0.059212,-174.467056,0.000175,-0.003482,0.000000,0.000000,0.000000,0.000000
-7.070000,-7.092763,0.000000,0.000896,-0.102338,0.000000,0.000924,0.107956,-7.200581,-0.001897,-0.262461,204.611465,0.000155,0.003171,0.000000,0.000000,0.000000,0.000000
-7.140000,-0.101324,0.000000,0.000586,-0.103352,0.000000,0.000768,0.111712,-0.103700,-0.005067,-0.340336,2.351525,0.000300,-0.000882,0.000000,0.000000,0.000000,0.000000
-3.620000,5.095209,0.000000,0.000276,-0.052400,0.000000,0.000468,0.058539,5.283035,-0.004186,-0.212238,-100.666229,0.000258,-0.002479,0.000000,0.000000,0.000000,0.000000
-1.310000,3.343731,0.000000,0.000124,-0.018962,0.000000,0.000210,0.022054,3.515357,-0.001707,-0.091839,-58.319702,0.000126,-0.001348,0.000000,0.000000,0.000000,0.000000
-1.740000,-0.622426,0.000000,0.000073,-0.025187,0.000000,0.000085,0.030505,-0.664942,-0.000359,-0.142148,9.858004,0.000070,-0.000195,0.000000,0.000000,0.000000,0.000000
-3.680000,-2.808155,0.000000,0.000004,-0.053268,0.000000,0.000015,0.067557,-3.054930,-0.000163,-0.345318,41.288921,0.000125,-0.000152,0.000000,0.000000,0.000000,0.000000
8.780000,18.035881,0.000000,-0.000148,0.127091,0.000000,-0.000110,-0.170174,20.022314,-0.000012,0.939238,-250.617737,-0.000081,-0.002205,0.000000,0.000000,0.000000,0.000000
16.990000,11.883996,0.000000,0.000224,0.245931,0.000000,-0.000028,-0.347910,13.489734,0.002193,2.047283,-158.370285,-0.000686,0.002543,0.000000,0.000000,0.000000,0.000000
-5.140000,-6.137410,0.000000,0.001879,-0.074402,0.000000,0.001654,0.078132,-6.186519,0.008058,-0.139483,239.404770,0.000095,0.004151,0.000000,0.000000,0.000000,0.000000
-4.870000,0.390826,0.000000,0.001699,-0.070493,0.000000,0.001558,0.073917,0.393753,0.003907,-0.131960,-15.237372,0.000207,-0.000653,0.000000,0.000000,0.000000,0.000000
-3.230000,2.373904,0.000000,0.001581,-0.046754,0.000000,0.001351,0.050546,2.409684,0.004560,-0.122886,-68.473488,0.000182,-0.001628,0.000000,0.000000,0.000000,0.000000
-3.860000,-0.911926,0.000000,0.001550,-0.055874,0.000000,0.001169,0.061719,-0.935050,0.006188,-0.188030,21.203495,0.000149,-0.000104,0.000000,0.000000,0.000000,0.000000
-2.550000,1.896228,0.000000,0.001501,-0.036911,0.000000,0.001020,0.042687,1.965422,0.006292,-0.154767,-37.450367,0.000152,-0.001128,0.000000,0.000000,0.000000,0.000000
5.310000,11.377370,0.000000,0.001520,0.076862,0.000000,0.000868,-0.087057,11.960227,0.007419,0.362525,-198.419968,-0.000009,-0.002774,0.000000,0.000000,0.000000,0.000000
-4.540000,-14.257901,0.000000,0.001890,-0.065717,0.000000,0.000877,0.081644,-15.233129,0.010194,-0.380453,225.836670,-0.000068,0.003252,0.000000,0.000000,0.000000,0.000000
5.590000,14.663200,0.000000,0.001849,0.080915,0.000000,0.000945,-0.100268,15.950428,0.006941,0.512521,-215.578049,0.000031,-0.002702,0.000000,0.000000,0.000000,0.000000
