0.475725,0.129959,0.000000,ovf,-0.000000,ovf,-0.000003,-0.061419,-0.000000,-198.399826,0.000000,ovf,-259386.359375,ovf,-0.000001,ovf,0.000000,-0.000000
1.290000,1.968603,0.000000,0.000000,0.018673,0.000000,0.000000,-0.018784,1.972511,0.000000,0.016965,-150.882217,-0.000013,-0.002811,0.000000,0.000000,0.000000,0.000000
2.590000,1.881753,0.000000,0.000051,0.037490,0.000000,0.000013,-0.037663,1.885451,0.002811,0.034015,-144.222794,-0.000066,-0.002634,0.000000,0.000000,0.000000,0.000000
-0.240000,-4.096432,0.000000,0.000208,-0.003474,0.000000,0.000080,0.003750,-4.121834,0.005445,-0.005918,180.431061,-0.000068,0.003405,0.000000,0.000000,0.000000,0.000000
-1.830000,-2.301529,0.000000,0.000221,-0.026489,0.000000,0.000147,0.027730,-2.330799,0.002039,-0.061901,72.132782,0.000031,0.001192,0.000000,0.000000,0.000000,0.000000
-0.930000,1.302752,0.000000,0.000161,-0.013462,0.000000,0.000116,0.014508,1.330773,0.000847,-0.041461,-32.168903,0.000064,-0.000723,0.000000,0.000000,0.000000,0.000000
-1.010000,-0.115800,0.000000,0.000143,-0.014620,0.000000,0.000052,0.016226,-0.119706,0.001571,-0.055960,2.397856,0.000042,-0.000105,0.000000,0.000000,0.000000,0.000000
-0.940000,0.101325,0.000000,0.000123,-0.013607,0.000000,0.000011,0.015663,0.105909,0.001675,-0.062657,-1.828968,0.000044,-0.000204,0.000000,0.000000,0.000000,0.000000
0.630000,2.272579,0.000000,0.000106,0.009119,0.000000,-0.000034,-0.010730,2.414946,0.001879,0.048390,-36.994770,0.000017,-0.000569,0.000000,0.000000,0.000000,0.000000
2.310000,2.431804,0.000000,0.000157,0.033437,0.000000,-0.000050,-0.041544,2.629702,0.002449,0.206688,-36.516083,-0.000063,-0.000131,0.000000,0.000000,0.000000,0.000000
0.710000,-2.316004,0.000000,0.000281,0.010277,0.000000,0.000012,-0.013143,-2.554649,0.002580,0.070928,32.703876,-0.000084,0.000811,0.000000,0.000000,0.000000,0.000000
0.800000,0.130275,0.000000,0.000339,0.011580,0.000000,0.000096,-0.015629,0.146448,0.001768,0.090258,-1.751964,-0.000039,0.000209,0.000000,0.000000,0.000000,0.000000
-1.520000,-3.358206,0.000000,0.000403,-0.022002,0.000000,0.000135,0.033061,-3.875832,0.001559,-0.202067,43.809223,0.000016,0.000283,0.000000,0.000000,0.000000,0.000000
-1.270000,0.361876,0.000000,0.000373,-0.018383,0.000000,0.000119,0.029466,0.427965,0.001276,-0.188889,-4.612218,0.000088,-0.000599,0.000000,0.000000,0.000000,0.000000
-2.440000,-1.693578,0.000000,0.000357,-0.035319,0.000000,0.000031,0.059836,-2.061512,0.001875,-0.399276,21.343119,0.000123,-0.000675,0.000000,0.000000,0.000000,0.000000
-0.010000,3.517431,0.000000,0.000294,-0.000145,0.000000,-0.000091,0.000787,4.407168,0.002550,-0.005432,-44.109463,0.000085,-0.000849,0.000000,0.000000,0.000000,0.000000
3.650000,6.846687,0.000000,0.000981,0.052834,0.000000,0.001008,-0.052930,6.900980,0.004059,0.094492,-267.052856,-0.000013,-0.004799,0.000000,0.000000,0.000000,0.000000
-5.160000,-12.752498,0.000000,0.001279,-0.074691,0.000000,0.001020,0.077786,-12.854207,0.008858,-0.138865,497.429687,-0.000033,0.009052,0.000000,0.000000,0.000000,0.000000
-8.010000,-4.125382,0.000000,0.001094,-0.115945,0.000000,0.001053,0.122392,-4.188176,-0.000194,-0.297558,119.011078,0.000252,0.001432,0.000000,0.000000,0.000000,0.000000
-1.210000,9.843018,0.000000,0.000784,-0.017515,0.000000,0.000802,0.019668,10.087201,-0.001626,-0.059920,-228.740677,0.000244,-0.004496,0.000000,0.000000,0.000000,0.000000
5.270000,9.379816,0.000000,0.000787,0.076283,0.000000,0.000558,-0.083899,9.724973,0.002870,0.304184,-185.305649,-0.000043,-0.002678,0.000000,0.000000,0.000000,0.000000
13.000000,11.189195,0.000000,0.001081,0.188175,0.000000,0.000601,-0.216183,11.762637,0.005548,0.900237,-195.141953,-0.000362,-0.001255,0.000000,0.000000,0.000000,0.000000
-2.240000,-22.059938,0.000000,0.001717,-0.032424,0.000000,0.000963,0.041230,-23.567755,0.006803,-0.192129,349.400543,-0.000334,0.006099,0.000000,0.000000,0.000000,0.000000
-0.820000,2.055454,0.000000,0.001711,-0.011870,0.000000,0.001297,0.017222,2.235218,0.000704,-0.088032,-30.210091,0.000090,-0.000821,0.000000,0.000000,0.000000,0.000000
3.370000,6.065035,0.000000,0.001778,0.048781,0.000000,0.001208,-0.062863,6.731825,0.001526,0.346960,-84.261726,-0.000043,-0.000655,0.000000,0.000000,0.000000,0.000000
2.220000,-1.664628,0.000000,0.002034,0.032135,0.000000,0.001250,-0.042622,-1.891226,0.002181,0.250809,22.203110,-0.000151,0.001100,0.000000,0.000000,0.000000,0.000000
5.190000,4.299083,0.000000,0.002254,0.075125,0.000000,0.001401,-0.109618,4.997970,0.001081,0.680644,-55.607941,-0.000202,0.000786,0.000000,0.000000,0.000000,0.000000
-3.350000,-5.645260,0.000000,-0.000526,-0.048491,0.000000,-0.001028,0.049164,-5.690698,0.021817,-0.087769,220.217560,0.000026,0.003931,0.000000,0.000000,0.000000,0.000000
-5.020000,-2.417329,0.000000,-0.000605,-0.072665,0.000000,-0.001053,0.073781,-2.436988,0.017886,-0.131717,94.306091,0.000153,0.001422,0.000000,0.000000,0.000000,0.000000
-1.610000,4.935984,0.000000,-0.000656,-0.023305,0.000000,-0.001207,0.023685,5.010486,0.016464,-0.057582,-142.377792,0.000159,-0.002854,0.000000,0.000000,0.000000,0.000000
-5.820000,-6.093986,0.000000,-0.000552,-0.084245,0.000000,-0.001365,0.089953,-6.245962,0.019318,-0.274047,141.635483,0.000125,0.001946,0.000000,0.000000,0.000000,0.000000
6.830000,18.310907,0.000000,-0.000643,0.098864,0.000000,-0.001490,-0.110582,18.984552,0.017372,0.400927,-361.743408,0.000060,-0.005769,0.000000,0.000000,0.000000,0.000000
4.480000,-3.401631,0.000000,-0.000179,0.064848,0.000000,-0.001550,-0.075138,-3.577503,0.023141,0.312891,59.350719,-0.000271,0.001981,0.000000,0.000000,0.000000,0.000000
-3.220000,-11.145769,0.000000,0.000179,-0.046610,0.000000,-0.001279,0.056504,-11.908526,0.021160,-0.263302,176.548248,-0.000072,0.002627,0.000000,0.000000,0.000000,0.000000
-2.350000,1.259327,0.000000,0.000208,-0.034016,0.000000,-0.001207,0.043402,1.368528,0.018533,-0.221851,-18.496346,0.000143,-0.000955,0.000000,0.000000,0.000000,0.000000
0.310000,3.850357,0.000000,0.000276,0.004487,0.000000,-0.001350,-0.005632,4.272688,0.019488,0.031084,-53.480896,0.000065,-0.000927,0.000000,0.000000,0.000000,0.000000
