-0.000000,0.000000,0.951464,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,-251196.359375,ovf,-0.000000,ovf
1.120000,2.069929,0.000000,0.000000,0.016212,0.000000,0.000000,-0.016309,2.074037,0.000000,0.014729,-158.648209,-0.000005,-0.002964,0.000000,0.000000,0.000000,0.000000
2.690000,2.272579,0.000000,0.000044,0.038938,0.000000,0.000005,-0.039126,2.277050,0.002964,0.035336,-174.177231,-0.000063,-0.003197,0.000000,0.000000,0.000000,0.000000
-0.890000,-5.182059,0.000000,0.000212,-0.012883,0.000000,0.000068,0.013338,-5.214174,0.006161,-0.021049,228.247681,-0.000063,0.004271,0.000000,0.000000,0.000000,0.000000
-0.870000,0.028950,0.000000,0.000198,-0.012593,0.000000,0.000130,0.013280,0.029241,0.001890,-0.029644,-0.904947,0.000037,-0.000105,0.000000,0.000000,0.000000,0.000000
-1.890000,-1.476453,0.000000,0.000187,-0.027358,0.000000,0.000093,0.029334,-1.508379,0.001995,-0.083833,36.462173,0.000051,0.000464,0.000000,0.000000,0.000000,0.000000
-1.670000,0.318451,0.000000,0.000131,-0.024173,0.000000,0.000043,0.026712,0.328799,0.001532,-0.092127,-6.586267,0.000078,-0.000375,0.000000,0.000000,0.000000,0.000000
-0.620000,1.519878,0.000000,0.000085,-0.008975,0.000000,-0.000036,0.010336,1.590444,0.001906,-0.041347,-27.465761,0.000058,-0.000631,0.000000,0.000000,0.000000,0.000000
-0.490000,0.188175,0.000000,0.000086,-0.007093,0.000000,-0.000094,0.008546,0.199781,0.002538,-0.038539,-3.060466,0.000027,-0.000161,0.000000,0.000000,0.000000,0.000000
0.420000,1.317227,0.000000,0.000092,0.006080,0.000000,-0.000120,-0.007474,1.424320,0.002699,0.037183,-19.778128,0.000007,-0.000274,0.000000,0.000000,0.000000,0.000000
2.270000,2.677880,0.000000,0.000138,0.032858,0.000000,-0.000127,-0.043021,2.953091,0.002972,0.232163,-37.804619,-0.000060,-0.000087,0.000000,0.000000,0.000000,0.000000
-1.600000,-5.601835,0.000000,0.000263,-0.023160,0.000000,-0.000067,0.032567,-6.313853,0.003060,-0.188072,75.532722,-0.000031,0.000922,0.000000,0.000000,0.000000,0.000000
-0.630000,1.404078,0.000000,0.000227,-0.009119,0.000000,-0.000035,0.013791,1.619936,0.002138,-0.084293,-18.310429,0.000068,-0.000576,0.000000,0.000000,0.000000,0.000000
-1.180000,-0.796126,0.000000,0.000233,-0.017081,0.000000,-0.000103,0.027200,-0.943022,0.002714,-0.174360,10.163024,0.000056,-0.000278,0.000000,0.000000,0.000000,0.000000
-2.950000,-2.562080,0.000000,0.000218,-0.042701,0.000000,-0.000159,0.071986,-3.118366,0.002993,-0.480350,32.284866,0.000136,-0.000688,0.000000,0.000000,0.000000,0.000000
-0.810000,3.097656,0.000000,0.000132,-0.011725,0.000000,-0.000294,0.021283,3.881223,0.003680,-0.146906,-38.845505,0.000131,-0.001132,0.000000,0.000000,0.000000,0.000000
5.760000,6.007136,0.000000,0.001097,0.083376,0.000000,0.001119,-0.084102,6.054763,0.003421,0.150142,-234.306122,-0.000113,-0.004028,0.000000,0.000000,0.000000,0.000000
0.070000,-8.236290,0.000000,0.001459,0.001013,0.000000,0.001232,0.000456,-8.302053,0.007450,-0.000815,321.271332,-0.000156,0.006089,0.000000,0.000000,0.000000,0.000000
-6.090000,-8.916615,0.000000,0.001502,-0.088153,0.000000,0.001388,0.093755,-9.052323,0.001361,-0.227936,257.230530,0.000082,0.004243,0.000000,0.000000,0.000000,0.000000
0.040000,8.873191,0.000000,0.001267,0.000579,0.000000,0.001306,0.000739,9.093297,-0.002882,-0.002252,-206.202591,0.000174,-0.003918,0.000000,0.000000,0.000000,0.000000
-4.780000,-6.976962,0.000000,0.001318,-0.069191,0.000000,0.001132,0.078356,-7.234268,0.001037,-0.284088,137.846222,0.000075,0.001849,0.000000,0.000000,0.000000,0.000000
8.730000,19.555758,0.000000,0.001165,0.126367,0.000000,0.001057,-0.144668,20.558826,-0.000812,0.602433,-341.070587,-0.000002,-0.004832,0.000000,0.000000,0.000000,0.000000
-4.330000,-18.904383,0.000000,0.001606,-0.062677,0.000000,0.001059,0.077631,-20.196444,0.004020,-0.361753,299.419617,-0.000172,0.004700,0.000000,0.000000,0.000000,0.000000
0.140000,-6.311111,0.000000,0.000170,0.002027,0.000000,-0.000186,-0.001862,-6.361702,0.015054,0.003324,246.183990,-0.000125,0.004662,0.000000,0.000000,0.000000,0.000000
-0.010000,-0.217125,0.000000,0.000213,-0.000145,0.000000,-0.000061,0.000366,-0.219131,0.010393,-0.000653,8.479881,-0.000003,0.000150,0.000000,0.000000,0.000000,0.000000
-5.100000,-7.367788,0.000000,0.000316,-0.073823,0.000000,-0.000058,0.077530,-7.480161,0.010242,-0.188489,212.556000,0.000068,0.003515,0.000000,0.000000,0.000000,0.000000
-1.870000,4.675433,0.000000,0.000183,-0.027068,0.000000,-0.000126,0.029290,4.791117,0.006728,-0.089234,-108.644943,0.000170,-0.002305,0.000000,0.000000,0.000000,0.000000
-1.120000,1.085627,0.000000,0.000198,-0.016212,0.000000,-0.000296,0.018236,1.125096,0.009033,-0.066118,-21.438284,0.000070,-0.000581,0.000000,0.000000,0.000000,0.000000
3.240000,6.311111,0.000000,0.000246,0.046899,0.000000,-0.000366,-0.053906,6.634268,0.009613,0.224478,-110.062401,-0.000020,-0.001476,0.000000,0.000000,0.000000,0.000000
-1.880000,-7.411213,0.000000,0.000486,-0.027213,0.000000,-0.000346,0.033450,-7.918335,0.011089,-0.155873,117.392197,-0.000059,0.001804,0.000000,0.000000,0.000000,0.000000
11.580000,19.483385,0.000000,0.000508,0.167621,0.000000,-0.000286,-0.211925,21.194689,0.009285,1.083257,-286.456879,-0.000172,-0.002497,0.000000,0.000000,0.000000,0.000000
-0.610000,-17.254230,0.000000,0.000722,-0.008830,0.000000,0.000224,0.009835,-17.392023,0.020668,-0.017558,673.033386,-0.000302,0.012701,0.000000,0.000000,0.000000,0.000000
2.030000,3.821407,0.000000,0.000750,0.029384,0.000000,0.000526,-0.029319,3.851557,0.007967,0.052341,-149.046829,-0.000006,-0.002704,0.000000,0.000000,0.000000,0.000000
-0.380000,-3.488481,0.000000,0.000949,-0.005501,0.000000,0.000532,0.006745,-3.541964,0.010671,-0.016397,100.648323,-0.000049,0.001866,0.000000,0.000000,0.000000,0.000000
-3.250000,-4.154332,0.000000,0.001042,-0.047044,0.000000,0.000581,0.051682,-4.257948,0.008805,-0.157453,96.554626,0.000059,0.001399,0.000000,0.000000,0.000000,0.000000
-0.430000,4.081957,0.000000,0.001012,-0.006224,0.000000,0.000522,0.008041,4.231700,0.007406,-0.029154,-80.633430,0.000102,-0.001608,0.000000,0.000000,0.000000,0.000000
-4.310000,-5.616310,0.000000,0.001113,-0.062387,0.000000,0.000420,0.073373,-5.905335,0.009014,-0.305543,97.969414,0.000086,0.001032,0.000000,0.000000,0.000000,0.000000
