-0.000000,0.000401,0.475732,0.000508,-0.000000,-0.000000,-0.000000,ovf,0.000003,-0.061419,-0.000000,ovf,0.000000,ovf,-251194.359375,ovf,-0.000001,ovf
0.900000,1.186952,0.000000,0.000000,0.013028,0.000000,0.000000,-0.013105,1.189308,0.000000,0.011836,-90.973106,-0.000013,-0.001691,0.000000,0.000000,0.000000,0.000000
2.040000,1.650153,0.000000,0.000035,0.029529,0.000000,0.000013,-0.029669,1.653405,0.001691,0.026796,-126.473076,-0.000049,-0.002319,0.000000,0.000000,0.000000,0.000000
-0.720000,-3.995107,0.000000,0.000156,-0.010422,0.000000,0.000062,0.010774,-4.019849,0.004010,-0.017004,175.966736,-0.000047,0.003290,0.000000,0.000000,0.000000,0.000000
-0.280000,0.636901,0.000000,0.000137,-0.004053,0.000000,0.000109,0.004350,0.644945,0.000719,-0.009710,-19.959534,0.000024,-0.000410,0.000000,0.000000,0.000000,0.000000
0.010000,0.419776,0.000000,0.000140,0.000145,0.000000,0.000085,-0.000005,0.428758,0.001130,0.000015,-10.364410,0.000008,-0.000195,0.000000,0.000000,0.000000,0.000000
-0.360000,-0.535576,0.000000,0.000157,-0.005211,0.000000,0.000077,0.005900,-0.553246,0.001325,-0.020347,11.082235,0.000005,0.000155,0.000000,0.000000,0.000000,0.000000
0.030000,0.564526,0.000000,0.000158,0.000434,0.000000,0.000071,-0.000315,0.590676,0.001170,0.001259,-10.200528,0.000010,-0.000190,0.000000,0.000000,0.000000,0.000000
-1.280000,-1.896228,0.000000,0.000178,-0.018528,0.000000,0.000061,0.022269,-2.015303,0.001360,-0.100426,30.872604,0.000022,0.000313,0.000000,0.000000,0.000000,0.000000
-0.440000,1.215902,0.000000,0.000142,-0.006369,0.000000,0.000039,0.008128,1.314835,0.001047,-0.040440,-18.257822,0.000047,-0.000456,0.000000,0.000000,0.000000,0.000000
1.670000,3.054230,0.000000,0.000144,0.024173,0.000000,-0.000008,-0.031595,3.368275,0.001503,0.170500,-43.119682,-0.000022,-0.000354,0.000000,0.000000,0.000000,0.000000
2.190000,0.752701,0.000000,0.000235,0.031700,0.000000,0.000014,-0.043750,0.848002,0.001857,0.252646,-10.144664,-0.000102,0.000492,0.000000,0.000000,0.000000,0.000000
-1.060000,-4.704383,0.000000,0.000349,-0.015344,0.000000,0.000116,0.023156,-5.429262,0.001365,-0.141529,61.367916,-0.000040,0.000778,0.000000,0.000000,0.000000,0.000000
0.000000,1.534353,0.000000,0.000330,0.000000,0.000000,0.000156,0.000519,1.816192,0.000587,-0.003328,-19.573242,0.000036,-0.000381,0.000000,0.000000,0.000000,0.000000
-0.510000,-0.738226,0.000000,0.000358,-0.007382,0.000000,0.000120,0.012982,-0.898841,0.000968,-0.086629,9.305828,0.000018,-0.000057,0.000000,0.000000,0.000000,0.000000
-0.090000,0.607951,0.000000,0.000367,-0.001303,0.000000,0.000102,0.002997,0.761283,0.001025,-0.020689,-7.619354,0.000022,-0.000200,0.000000,0.000000,0.000000,0.000000
3.300000,3.242406,0.000000,0.001211,0.047768,0.000000,0.001233,-0.047525,3.268042,0.003362,0.084843,-126.466072,-0.000067,-0.002165,0.000000,0.000000,0.000000,0.000000
-2.390000,-8.236289,0.000000,0.001477,-0.034595,0.000000,0.001300,0.036935,-8.302005,0.005527,-0.065937,321.269409,-0.000057,0.005909,0.000000,0.000000,0.000000,0.000000
-3.590000,-1.737003,0.000000,0.001405,-0.051965,0.000000,0.001357,0.055812,-1.763516,-0.000382,-0.135688,50.112015,0.000118,0.000571,0.000000,0.000000,0.000000,0.000000
