ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-50759.355469,0.000000,ovf,ovf,ovf,-0.000000,ovf,0.000000,-0.000000,ovf,ovf,ovf
0.420000,1.013252,0.000000,0.000000,0.006080,0.000000,0.000000,-0.006116,1.015263,0.000000,0.005523,-77.659966,0.000003,-0.001456,0.000000,0.000000,0.000000,0.000000
2.380000,2.837105,0.000000,0.000016,0.034451,0.000000,-0.000003,-0.034639,2.842717,0.001456,0.031285,-217.446457,-0.000040,-0.004030,0.000000,0.000000,0.000000,0.000000
-0.580000,-4.284608,0.000000,0.000166,-0.008396,0.000000,0.000037,0.008720,-4.311170,0.005486,-0.013761,188.719147,-0.000058,0.003544,0.000000,0.000000,0.000000,0.000000
-0.040000,0.781651,0.000000,0.000164,-0.000579,0.000000,0.000095,0.000771,0.791489,0.001942,-0.001722,-24.494738,0.000017,-0.000475,0.000000,0.000000,0.000000,0.000000
0.420000,0.665851,0.000000,0.000190,0.006080,0.000000,0.000078,-0.006272,0.680077,0.002417,0.017926,-16.439573,-0.000004,-0.000262,0.000000,0.000000,0.000000,0.000000
-0.140000,-0.810601,0.000000,0.000237,-0.002027,0.000000,0.000082,0.002488,-0.837379,0.002679,-0.008581,16.773783,-0.000009,0.000295,0.000000,0.000000,0.000000,0.000000
-0.640000,-0.723751,0.000000,0.000262,-0.009264,0.000000,0.000091,0.010867,-0.757625,0.002384,-0.043473,13.083605,0.000015,0.000130,0.000000,0.000000,0.000000,0.000000
-0.980000,-0.492151,0.000000,0.000266,-0.014186,0.000000,0.000076,0.017204,-0.523257,0.002254,-0.077584,8.015818,0.000037,-0.000058,0.000000,0.000000,0.000000,0.000000
-1.170000,-0.275025,0.000000,0.000257,-0.016936,0.000000,0.000040,0.021463,-0.297716,0.002313,-0.106779,4.134092,0.000052,-0.000210,0.000000,0.000000,0.000000,0.000000
-0.870000,0.434251,0.000000,0.000242,-0.012593,0.000000,-0.000013,0.016876,0.478598,0.002523,-0.091074,-6.126876,0.000055,-0.000362,0.000000,0.000000,0.000000,0.000000
5.380000,9.046891,0.000000,0.000242,0.077876,0.000000,-0.000067,-0.107942,10.195689,0.002885,0.623349,-121.971191,-0.000099,-0.000623,0.000000,0.000000,0.000000,0.000000
-0.360000,-8.308665,0.000000,0.000505,-0.005211,0.000000,0.000032,0.008434,-9.588920,0.003508,-0.051548,108.385277,-0.000159,0.001914,0.000000,0.000000,0.000000,0.000000
0.370000,1.056677,0.000000,0.000531,0.005356,0.000000,0.000190,-0.007579,1.250380,0.001594,0.048586,-13.475443,0.000003,-0.000127,0.000000,0.000000,0.000000,0.000000
3.220000,4.125382,0.000000,0.000592,0.046610,0.000000,0.000187,-0.077182,5.019446,0.001721,0.515022,-51.966999,-0.000114,0.000409,0.000000,0.000000,0.000000,0.000000
-0.700000,-5.674210,0.000000,0.000775,-0.010133,0.000000,0.000300,0.019579,-7.111592,0.001312,-0.135146,71.176888,-0.000081,0.000981,0.000000,0.000000,0.000000,0.000000
4.100000,7.903364,0.000000,0.001014,0.059348,0.000000,0.001051,-0.059510,7.966013,0.005688,0.106238,-308.267334,-0.000010,-0.005551,0.000000,0.000000,0.000000,0.000000
-5.740000,-14.243424,0.000000,0.001384,-0.083087,0.000000,0.001061,0.086489,-14.357057,0.011240,-0.154403,555.586731,-0.000038,0.010113,0.000000,0.000000,0.000000,0.000000
-1.290000,6.441386,0.000000,0.001191,-0.018673,0.000000,0.001099,0.020772,6.539144,0.001127,-0.050501,-185.816101,0.000180,-0.003674,0.000000,0.000000,0.000000,0.000000
-1.080000,0.303975,0.000000,0.001215,-0.015633,0.000000,0.000919,0.018109,0.311130,0.004801,-0.055169,-7.055296,0.000055,-0.000276,0.000000,0.000000,0.000000,0.000000
-7.400000,-9.148216,0.000000,0.001257,-0.107115,0.000000,0.000864,0.120434,-9.485692,0.005077,-0.436645,180.746262,0.000146,0.002242,0.000000,0.000000,0.000000,0.000000
6.040000,19.454435,0.000000,0.001028,0.087429,0.000000,0.000718,-0.099835,20.452127,0.002835,0.415736,-339.300415,0.000117,-0.005304,0.000000,0.000000,0.000000,0.000000
2.100000,-5.703160,0.000000,0.001389,0.030398,0.000000,0.000601,-0.035032,-6.093766,0.008139,0.163243,90.342293,-0.000210,0.002162,0.000000,0.000000,0.000000,0.000000
-9.950000,-17.442406,0.000000,0.001590,-0.144027,0.000000,0.000812,0.184665,-18.976479,0.005977,-0.943916,256.476654,0.000141,0.002299,0.000000,0.000000,0.000000,0.000000
-4.500000,7.888889,0.000000,0.001291,-0.065138,0.000000,0.000671,0.088844,8.756661,0.003678,-0.490355,-109.606430,0.000406,-0.003406,0.000000,0.000000,0.000000,0.000000
4.210000,12.607748,0.000000,0.001230,0.060940,0.000000,0.000265,-0.084547,14.310168,0.007084,0.497515,-168.002243,0.000042,-0.001829,0.000000,0.000000,0.000000,0.000000
-0.290000,-6.513762,0.000000,0.001542,-0.004198,0.000000,0.000224,0.008634,-7.577792,0.008913,-0.053610,84.311317,-0.000120,0.001455,0.000000,0.000000,0.000000,0.000000
-7.770000,-5.066259,0.000000,0.000473,-0.112471,0.000000,0.000028,0.115692,-5.107056,0.018610,-0.206537,197.631912,0.000216,0.003181,0.000000,0.000000,0.000000,0.000000
-0.510000,10.508868,0.000000,0.000215,-0.007382,0.000000,-0.000189,0.007779,10.592035,0.015429,-0.013887,-409.888611,0.000221,-0.007805,0.000000,0.000000,0.000000,0.000000
0.110000,0.897452,0.000000,0.000426,0.001592,0.000000,-0.000410,-0.001219,0.910236,0.023234,0.002964,-25.865246,0.000014,-0.000467,0.000000,0.000000,0.000000,0.000000
-3.880000,-5.775535,0.000000,0.000668,-0.056163,0.000000,-0.000423,0.061083,-5.919980,0.023701,-0.186091,134.243393,0.000053,0.002039,0.000000,0.000000,0.000000,0.000000
4.440000,12.043221,0.000000,0.000734,0.064269,0.000000,-0.000477,-0.070607,12.485500,0.021662,0.255992,-237.906464,0.000045,-0.003816,0.000000,0.000000,0.000000,0.000000
7.820000,4.892559,0.000000,0.001172,0.113195,0.000000,-0.000522,-0.129440,5.141708,0.025478,0.539019,-85.300858,-0.000253,-0.000150,0.000000,0.000000,0.000000,0.000000
-3.710000,-16.689705,0.000000,0.001763,-0.053702,0.000000,-0.000269,0.066982,-17.832018,0.025628,-0.312129,264.366180,-0.000156,0.004162,0.000000,0.000000,0.000000,0.000000
-4.300000,-0.854027,0.000000,0.001871,-0.062243,0.000000,-0.000113,0.081306,-0.931566,0.021466,-0.415596,12.590580,0.000203,-0.000893,0.000000,0.000000,0.000000,0.000000
-9.810000,-7.975739,0.000000,0.001967,-0.142000,0.000000,-0.000316,0.192547,-8.857079,0.022360,-1.062722,110.863350,0.000353,-0.000774,0.000000,0.000000,0.000000,0.000000
0.610000,15.082976,0.000000,0.001844,0.008830,0.000000,-0.000668,-0.009892,17.118114,0.023134,0.058209,-200.967682,0.000297,-0.003646,0.000000,0.000000,0.000000,0.000000
-0.040000,-0.940877,0.000000,0.002169,-0.000579,0.000000,-0.000965,0.004134,-1.098495,0.026780,-0.025667,12.221972,-0.000010,0.000169,0.000000,0.000000,0.000000,0.000000
-7.450000,-4.168807,0.000000,-0.002035,-0.107839,0.000000,-0.002874,0.108417,-4.202837,0.037450,-0.193549,162.640610,0.000214,0.002556,0.000000,0.000000,0.000000,0.000000
-3.920000,5.109684,0.000000,-0.002239,-0.056742,0.000000,-0.003088,0.055806,5.149525,0.034894,-0.099626,-199.275360,0.000248,-0.004047,0.000000,0.000000,0.000000,0.000000
-3.830000,0.130275,0.000000,-0.002056,-0.055439,0.000000,-0.003336,0.055825,0.131069,0.038942,-0.135722,-3.724454,0.000153,-0.000430,0.000000,0.000000,0.000000,0.000000
3.910000,11.203670,0.000000,-0.001884,0.056597,0.000000,-0.003489,-0.062856,11.480191,0.039372,0.191494,-260.328552,0.000047,-0.004411,0.000000,0.000000,0.000000,0.000000
-5.060000,-12.984097,0.000000,-0.001376,-0.073244,0.000000,-0.003536,0.079866,-13.464329,0.043782,-0.289563,256.557678,-0.000039,0.004083,0.000000,0.000000,0.000000,0.000000
7.930000,18.803057,0.000000,-0.001276,0.114787,0.000000,-0.003497,-0.134108,19.765772,0.039700,0.558457,-327.913818,0.000012,-0.004706,0.000000,0.000000,0.000000,0.000000
-5.120000,-18.889908,0.000000,-0.000620,-0.074112,0.000000,-0.003509,0.088752,-20.182859,0.044405,-0.413574,299.218201,-0.000142,0.004556,0.000000,0.000000,0.000000,0.000000
1.140000,9.061366,0.000000,-0.000530,0.016502,0.000000,-0.003367,-0.021599,9.855000,0.039850,0.110404,-133.195282,0.000128,-0.002232,0.000000,0.000000,0.000000,0.000000
-0.750000,-2.735780,0.000000,-0.000178,-0.010856,0.000000,-0.003495,0.014281,-3.040337,0.042082,-0.078823,38.055649,-0.000019,0.000511,0.000000,0.000000,0.000000,0.000000
