-0.237863,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061435,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000011,ovf,0.000000,-0.000000
-0.060000,-0.086850,0.000000,0.000000,-0.000869,0.000000,0.000000,0.000874,-0.087023,0.000000,-0.000789,6.656568,0.000001,0.000124,0.000000,0.000000,0.000000,0.000000
1.460000,2.200204,0.000000,-0.000002,0.021134,0.000000,-0.000001,-0.021262,2.204572,-0.000124,0.019203,-168.633194,-0.000016,-0.003141,0.000000,0.000000,0.000000,0.000000
0.710000,-1.085627,0.000000,0.000086,0.010277,0.000000,0.000015,-0.010381,-1.092396,0.003017,0.016383,47.819046,-0.000049,0.000956,0.000000,0.000000,0.000000,0.000000
-0.130000,-1.215902,0.000000,0.000135,-0.001882,0.000000,0.000064,0.002094,-1.231399,0.002062,-0.004675,38.108913,-0.000018,0.000707,0.000000,0.000000,0.000000,0.000000
-0.700000,-0.825076,0.000000,0.000146,-0.010133,0.000000,0.000081,0.010946,-0.842933,0.001355,-0.031283,20.376286,0.000014,0.000300,0.000000,0.000000,0.000000,0.000000
-1.180000,-0.694801,0.000000,0.000132,-0.017081,0.000000,0.000068,0.018918,-0.717678,0.001055,-0.065246,14.376014,0.000038,0.000095,0.000000,0.000000,0.000000,0.000000
-0.710000,0.680326,0.000000,0.000098,-0.010277,0.000000,0.000030,0.011836,0.711891,0.000960,-0.047350,-12.293820,0.000045,-0.000361,0.000000,0.000000,0.000000,0.000000
-0.380000,0.477676,0.000000,0.000084,-0.005501,0.000000,-0.000015,0.006649,0.507518,0.001321,-0.029983,-7.774711,0.000028,-0.000228,0.000000,0.000000,0.000000,0.000000
0.200000,0.839551,0.000000,0.000086,0.002895,0.000000,-0.000043,-0.003507,0.907809,0.001548,0.017447,-12.605844,0.000008,-0.000191,0.000000,0.000000,0.000000,0.000000
-0.040000,-0.347401,0.000000,0.000112,-0.000579,0.000000,-0.000050,0.000909,-0.383342,0.001739,-0.004905,4.907432,-0.000005,0.000080,0.000000,0.000000,0.000000,0.000000
0.990000,1.490928,0.000000,0.000129,0.014330,0.000000,-0.000046,-0.019745,1.680091,0.001659,0.114024,-20.098949,-0.000022,-0.000072,0.000000,0.000000,0.000000,0.000000
-0.870000,-2.692355,0.000000,0.000191,-0.012593,0.000000,-0.000024,0.018864,-3.107285,0.001732,-0.115294,35.122192,-0.000008,0.000353,0.000000,0.000000,0.000000,0.000000
0.370000,1.794903,0.000000,0.000175,0.005356,0.000000,-0.000016,-0.008138,2.124735,0.001378,0.052170,-22.898437,0.000018,-0.000293,0.000000,0.000000,0.000000,0.000000
0.970000,0.868502,0.000000,0.000213,0.014041,0.000000,-0.000035,-0.023193,1.056504,0.001671,0.154760,-10.938127,-0.000043,0.000212,0.000000,0.000000,0.000000,0.000000
0.660000,-0.448726,0.000000,0.000277,0.009554,0.000000,0.000008,-0.016653,-0.562798,0.001459,0.114947,5.632807,-0.000056,0.000417,0.000000,0.000000,0.000000,0.000000
3.560000,7.107237,0.000000,0.001227,0.051531,0.000000,0.001246,-0.051380,7.163624,0.002810,0.091726,-277.216614,-0.000003,-0.005002,0.000000,0.000000,0.000000,0.000000
-4.590000,-11.797146,0.000000,0.001485,-0.066440,0.000000,0.001249,0.069549,-11.891239,0.007811,-0.124161,460.165009,-0.000037,0.008387,0.000000,0.000000,0.000000,0.000000
-1.740000,4.125382,0.000000,0.001324,-0.025187,0.000000,0.001286,0.027723,4.187987,-0.000575,-0.067399,-119.005684,0.000154,-0.002451,0.000000,0.000000,0.000000,0.000000
1.090000,4.096432,0.000000,0.001305,0.015778,0.000000,0.001132,-0.015555,4.197802,0.001876,0.047390,-95.190727,0.000037,-0.001670,0.000000,0.000000,0.000000,0.000000
-0.860000,-2.822630,0.000000,0.001423,-0.012449,0.000000,0.001094,0.015415,-2.927079,0.003546,-0.055890,55.774380,-0.000014,0.000908,0.000000,0.000000,0.000000,0.000000
5.480000,9.177166,0.000000,0.001464,0.079323,0.000000,0.001108,-0.089964,9.647441,0.002638,0.374632,-160.050873,-0.000061,-0.002019,0.000000,0.000000,0.000000,0.000000
7.320000,2.663405,0.000000,0.001791,0.105957,0.000000,0.001169,-0.125796,2.844323,0.004657,0.586194,-42.168121,-0.000286,0.000791,0.000000,0.000000,0.000000,0.000000
