-0.000000,-0.000000,0.475725,0.129967,-0.000000,ovf,-0.000000,ovf,-0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf
0.510000,0.882977,0.000000,0.000000,0.007382,0.000000,0.000000,-0.007426,0.884729,0.000000,0.006707,-67.675117,-0.000003,-0.001263,0.000000,0.000000,0.000000,0.000000
2.210000,2.460754,0.000000,0.000020,0.031990,0.000000,0.000003,-0.032160,2.465622,0.001263,0.029046,-188.601501,-0.000040,-0.003490,0.000000,0.000000,0.000000,0.000000
-1.280000,-5.051784,0.000000,0.000155,-0.018528,0.000000,0.000044,0.019029,-5.083061,0.004754,-0.030032,222.508270,-0.000045,0.004138,0.000000,0.000000,0.000000,0.000000
-0.290000,1.433028,0.000000,0.000112,-0.004198,0.000000,0.000088,0.004474,1.451173,0.000615,-0.009988,-44.910404,0.000040,-0.000885,0.000000,0.000000,0.000000,0.000000
-1.570000,-1.852803,0.000000,0.000118,-0.022726,0.000000,0.000049,0.024327,-1.892811,0.001500,-0.069524,45.755093,0.000030,0.000680,0.000000,0.000000,0.000000,0.000000
-1.110000,0.665851,0.000000,0.000066,-0.016067,0.000000,0.000019,0.017731,0.687647,0.000820,-0.061153,-13.774458,0.000061,-0.000427,0.000000,0.000000,0.000000,0.000000
-1.540000,-0.622426,0.000000,0.000034,-0.022292,0.000000,-0.000042,0.025470,-0.651461,0.001248,-0.101891,11.250230,0.000056,-0.000062,0.000000,0.000000,0.000000,0.000000
-0.790000,1.085627,0.000000,-0.000016,-0.011435,0.000000,-0.000099,0.013595,1.153633,0.001310,-0.061308,-17.672602,0.000059,-0.000500,0.000000,0.000000,0.000000,0.000000
0.150000,1.360652,0.000000,-0.000033,0.002171,0.000000,-0.000157,-0.002752,1.471403,0.001810,0.013692,-20.431934,0.000020,-0.000349,0.000000,0.000000,0.000000,0.000000
4.610000,6.455861,0.000000,-0.000012,0.066730,0.000000,-0.000177,-0.087753,7.119925,0.002159,0.473558,-91.147224,-0.000103,-0.000444,0.000000,0.000000,0.000000,0.000000
3.310000,-1.881754,0.000000,0.000199,0.047912,0.000000,-0.000075,-0.066341,-2.121139,0.002603,0.383110,25.375210,-0.000219,0.001518,0.000000,0.000000,0.000000,0.000000
-1.430000,-6.861162,0.000000,0.000355,-0.020699,0.000000,0.000145,0.031068,-7.918165,0.001085,-0.189884,89.500435,-0.000065,0.001178,0.000000,0.000000,0.000000,0.000000
-0.280000,1.664628,0.000000,0.000317,-0.004053,0.000000,0.000210,0.006864,1.970504,-0.000093,-0.044003,-21.236279,0.000056,-0.000523,0.000000,0.000000,0.000000,0.000000
-1.040000,-1.100102,0.000000,0.000328,-0.015054,0.000000,0.000154,0.025800,-1.339130,0.000431,-0.172155,13.864197,0.000044,-0.000202,0.000000,0.000000,0.000000,0.000000
-0.260000,1.129052,0.000000,0.000311,-0.003764,0.000000,0.000110,0.007313,1.414397,0.000633,-0.050479,-14.156096,0.000046,-0.000404,0.000000,0.000000,0.000000,0.000000
3.580000,5.616310,0.000000,0.001317,0.051821,0.000000,0.001336,-0.051583,5.660836,0.002792,0.092087,-219.061981,-0.000032,-0.003898,0.000000,0.000000,0.000000,0.000000
-3.030000,-9.567992,0.000000,0.001578,-0.043859,0.000000,0.001368,0.046523,-9.644332,0.006690,-0.083055,373.214600,-0.000057,0.006849,0.000000,0.000000,0.000000,0.000000
-1.720000,1.896228,0.000000,0.001484,-0.024897,0.000000,0.001425,0.027588,1.924922,-0.000159,-0.067072,-54.698517,0.000111,-0.001230,0.000000,0.000000,0.000000,0.000000
2.980000,6.803262,0.000000,0.001463,0.043136,0.000000,0.001314,-0.044790,6.971807,0.001071,0.136454,-158.094955,0.000011,-0.002622,0.000000,0.000000,0.000000,0.000000
-5.750000,-12.636698,0.000000,0.001664,-0.083231,0.000000,0.001303,0.094344,-13.102673,0.003693,-0.342053,249.666443,0.000007,0.003807,0.000000,0.000000,0.000000,0.000000
3.020000,12.694597,0.000000,0.001490,0.043715,0.000000,0.001296,-0.048790,13.345500,-0.000114,0.203172,-221.401627,0.000121,-0.003650,0.000000,0.000000,0.000000,0.000000
-8.750000,-17.037106,0.000000,0.001708,-0.126656,0.000000,0.001175,0.155018,-18.201637,0.003535,-0.722366,269.845886,0.000074,0.003162,0.000000,0.000000,0.000000,0.000000
-5.100000,5.283385,0.000000,0.001431,-0.073823,0.000000,0.001101,0.095434,5.746984,0.000373,-0.487810,-77.673378,0.000367,-0.002796,0.000000,0.000000,0.000000,0.000000
-7.750000,-3.835882,0.000000,0.001321,-0.112181,0.000000,0.000734,0.151802,-4.259371,0.003169,-0.837838,53.314213,0.000329,-0.001252,0.000000,0.000000,0.000000,0.000000
6.030000,19.946587,0.000000,0.001107,0.087284,0.000000,0.000405,-0.122025,22.641142,0.004421,0.718055,-265.808350,0.000098,-0.003088,0.000000,0.000000,0.000000,0.000000
11.650000,8.134964,0.000000,0.001477,0.168634,0.000000,0.000307,-0.251450,9.459288,0.007509,1.561310,-105.245026,-0.000501,0.002236,0.000000,0.000000,0.000000,0.000000
-8.370000,-14.171051,0.000000,-0.000225,-0.121156,0.000000,-0.000705,0.123871,-14.284277,0.020649,-0.221139,552.770325,0.000066,0.009864,0.000000,0.000000,0.000000,0.000000
0.950000,13.490724,0.000000,-0.000504,0.013751,0.000000,-0.000771,-0.014596,13.597759,0.010785,0.026057,-526.203552,0.000218,-0.009911,0.000000,0.000000,0.000000,0.000000
6.740000,8.381039,0.000000,-0.000272,0.097562,0.000000,-0.000989,-0.102308,8.507719,0.020696,0.248730,-241.755066,-0.000116,-0.003887,0.000000,0.000000,0.000000,0.000000
